Какое действующее вещество содержится в препарате Апекс, МКЭ? | В препарате Апекс, МКЭ содержится 100 г/л пирипроксифена.
Каким образом действует препарат Апекс, МКЭ на вредителей? | Препарат Апекс, МКЭ нарушает гормональный баланс у вредителей, вызывая необратимые нарушения в их развитии и приводя к гибели.
В какой формуляции представлен препарат Апекс, МКЭ? | Препарат Апекс, МКЭ представлен в масляной эмульсионной формуляции.
Для каких культур рекомендуется использовать препарат Апекс, МКЭ? | Препарат Апекс, МКЭ рекомендуется для защиты посевов рапса, плодовых и овощных культур.
В каких странах доступен препарат Апекс, МКЭ? | Препарат Апекс, МКЭ доступен в России.
Какие преимущества обладает препарат Апекс, МКЭ? | Препарат Апекс, МКЭ обладает уникальным механизмом действия, максимально эффективной масляной формуляцией, действует на все стадии развития вредителей, обеспечивает быстрый токсический эффект и имеет длительный защитный период. Он также малотоксичен для пчел и теплокровных, что делает его необходимым компонентом в комплексных антирезистентных программах защиты культур.
Каков механизм действия пирипроксифена - действующего вещества препарата Апекс, МКЭ? | Пирипроксифен является синтетическим аналогом ювенильного гормона, его механизм действия связан с нарушениями гормонального баланса в организме вредителей.
Какие процессы насекомых нарушает пирипроксифен под воздействием препарата Апекс, МКЭ? | Пирипроксифен нарушает процессы эмбриогенеза, метаморфоза и образования взрослых особей насекомых.
Какой эффект оказывает пирипроксифен на яйцекладки и личинки насекомых? | Пирипроксифен, попадая на яйцекладки и личинки насекомых, нарушает процессы их развития, что приводит к появлению уродливых нежизнеспособных особей с признаками личинки или имаго.
Какова остаточная активность пирипроксифена? | Пирипроксифен имеет длительную остаточную активность, вызывая летальные нарушения у всех стадий развития насекомых, включая последующие.
Какую роль играет масляная формуляция в препарате Апекс, МКЭ? | Масляная формуляция улучшает липофильные качества препарата и обеспечивает равномерное распределение инсектицида на теле насекомого и обработанной поверхности, что приводит к быстрому токсическому эффекту и длительному защитному действию при дальнейшем поедании листьев.
Что обеспечивает масляная пленка на обработанной поверхности? | Масляная пленка на обработанной поверхности позволяет дольше сохранять д.в. в жидком виде, препятствуя кристаллизации, испарению и смыванию осадками, обеспечивая эффективность действия препарата при неблагоприятных погодных условиях.
С какими веществами препарат Апекс, МКЭ несовместим? | Препарат Апекс, МКЭ несовместим с препаратами, содержащими малатион, так как пирипроксифен и малатион являются антагонистами.
Какой период защитного действия имеет препарат Апекс, МКЭ? | Препарат Апекс, МКЭ обладает защитным действием на протяжении всего периода вегетации, вызывая необратимые нарушения гормонального баланса в организме вредителей и предотвращая появление вредящей фазы развития.
В каких случаях применение препарата Апекс, МКЭ допускается самостоятельно, без смешивания с другими препаратами? | Препарат Апекс, МКЭ эффективен при самостоятельном применении.
Какими культурами рекомендуется обрабатывать препаратом Апекс, МКЭ капустную моль, белянок и капустную совку? | Препарат Апекс, МКЭ рекомендуется обрабатывать культуры рапса ярового и озимого.
Какие сорняки и вредители рекомендуется обрабатывать препаратом Апекс, МКЭ на яблоне? | Препарат Апекс, МКЭ рекомендуется обрабатывать против калифорнийской щитовки и яблонной плодожорки на яблоне.
Какой расход препарата Апекс, МКЭ рекомендуется на рапс яровой и озимый для борьбы с капустной молью, белянками и капустной совкой? | Расход препарата Апекс, МКЭ на рапс яровой и озимый для борьбы с капустной молью, белянками и капустной совкой составляет 0,3-0,5 л/га.
Какой расход препарата Апекс, МКЭ рекомендуется на яблоне для борьбы с калифорнийской щитовкой и яблонной плодожоркой? | Расход препарата Апекс, МКЭ на яблоне для борьбы с калифорнийской щитовкой и яблонной плодожоркой составляет 0,5-0,8 л/га.
Какой расход препарата Апекс, МКЭ рекомендуется на томате и огурце защищенного грунта для борьбы с тепличной белокрылкой? | Расход препарата Апекс, МКЭ на томате и огурце защищенного грунта для борьбы с тепличной белокрылкой составляет 0,2-0,3 л/га.
Какой объем рабочей жидкости рекомендуется использовать при обработке рапса ярового и озимого препаратом Апекс, МКЭ? | При обработке рапса ярового и озимого препаратом Апекс, МКЭ рекомендуется использовать 200-400 л/га рабочей жидкости.
Какой объем рабочей жидкости рекомендуется использовать при обработке яблони препаратом Апекс, МКЭ? | При обработке яблони препаратом Апекс, МКЭ рекомендуется использовать 600-1200 л/га рабочей жидкости.
Какой объем рабочей жидкости рекомендуется использовать при обработке томата и огурца защищенного грунта препаратом Апекс, МКЭ? | При обработке томата и огурца защищенного грунта препаратом Апекс, МКЭ рекомендуется использовать 1000-3000 л/га рабочей жидкости.
Как необходимо приготовить рабочую жидкость перед опрыскиванием препаратом Апекс, МКЭ? | Рабочую жидкость следует готовить непосредственно перед опрыскиванием. Для этого требуется отмерить требуемое количество препарата на одну заправку опрыскивателя, заполнить бак на половину водой, добавить полную дозу препарата, долить оставшееся количество воды и тщательно перемешать.
В течение какого срока рекомендуется использовать приготовленную рабочую жидкость препарата Апекс, МКЭ? | Приготовленную рабочую жидкость препарата Апекс, МКЭ рекомендуется использовать в течение дня приготовления.
Где рекомендуется проводить приготовление рабочей жидкости и заправку опрыскивателя препаратом Апекс, МКЭ? | Приготовление рабочей жидкости и заправку опрыскивателя препаратом Апекс, МКЭ рекомендуется проводить на специальных площадках, которые в дальнейшем подвергаются обезвреживанию.
Для чего применяются серийно выпускаемые наземные опрыскиватели и садовые дистанционные опрыскиватели? | Серийно выпускаемые наземные опрыскиватели и садовые дистанционные опрыскиватели применяются для внесения инсектицидов, в том числе препарата Апекс, МКЭ.
Какому химическому классу принадлежит действующее вещество препарата Апекс, МКЭ? | Действующее вещество препарата Апекс, МКЭ принадлежит к химическому классу ювеноидов.
В какой класс опасности относится препарат Апекс, МКЭ? | Препарат Апекс, МКЭ относится к 3 классу опасности, он умеренно опасный.
В какой класс опасности для пчел относится препарат Апекс, МКЭ? | Препарат Апекс, МКЭ относится к 3 классу опасности для пчел, он малоопасный.
Какой гарантийный срок хранения имеет препарат Апекс, МКЭ? | Гарантийный срок хранения препарата Апекс, МКЭ составляет 2 года.
В каком температурном интервале необходимо хранить препарат Апекс, МКЭ? | Препарат Апекс, МКЭ необходимо хранить в температурном интервале от -10 до +35 °C.
Какая упаковка препарата Апекс, МКЭ представлена на рынке? | Препарат Апекс, МКЭ представлен в канистре объемом 5 литров.
Кто является регистрантом препарата Апекс, МКЭ? | Регистрантом препарата Апекс, МКЭ является АО Щелково Агрохим, Россия.
Кто является изготовителем препарата Апекс, МКЭ? | Изготовителем препарата Апекс, МКЭ также является АО Щелково Агрохим, Россия.
Какие культуры обрабатываются препаратом Апекс, МКЭ? | Препарат Апекс, МКЭ рекомендуется для обработки культур рапса, яблони, томата и огурца.
Какие вредители и сорняки подавляются препаратом Апекс, МКЭ на рапсе яровом и озимом? | На рапсе яровом и озимом препарат Апекс, МКЭ подавляет капустную моль, белянок и капустную совку.
Какие вредители и сорняки подавляются препаратом Апекс, МКЭ на яблоне? | На яблоне препарат Апекс, МКЭ подавляет калифорнийскую щитовку и яблонную плодожорку.
Какие вредители и сорняки подавляются препаратом Апекс, МКЭ на томате и огурце защищенного грунта? | На томате и огурце защищенного грунта препарат Апекс, МКЭ подавляет тепличную белокрылку.
Какая дозировка препарата Апекс, МКЭ рекомендуется для обработки рапса ярового и озимого? | Для обработки рапса ярового и озимого дозировка препарата Апекс, МКЭ составляет 0,3-0,5 л/га.
Какая дозировка препарата Апекс, МКЭ рекомендуется для обработки яблони? | Для обработки яблони дозировка препарата Апекс, МКЭ составляет 0,5-0,8 л/га.
Какая дозировка препарата Апекс, МКЭ рекомендуется для обработки томата и огурца защищенного грунта? | Для обработки томата и огурца защищенного грунта дозировка препарата Апекс, МКЭ составляет 0,2-0,3 л/га.
Какой объем рабочей жидкости рекомендуется использовать при обработке рапса ярового и озимого препаратом Апекс, МКЭ? | При обработке рапса ярового и озимого препаратом Апекс, МКЭ рекомендуется использовать 200-400 л/га рабочей жидкости.
Какой объем рабочей жидкости рекомендуется использовать при обработке яблони препаратом Апекс, МКЭ? | При обработке яблони препаратом Апекс, МКЭ рекомендуется использовать 600-1200 л/га рабочей жидкости.
Какой объем рабочей жидкости рекомендуется использовать при обработке томата и огурца защищенного грунта препаратом Апекс, МКЭ? | При обработке томата и огурца защищенного грунта препаратом Апекс, МКЭ рекомендуется использовать 1000-3000 л/га рабочей жидкости.
Как следует приготовить рабочую жидкость перед опрыскиванием препаратом Апекс, МКЭ? | Перед опрыскиванием препаратом Апекс, МКЭ необходимо готовить рабочую жидкость непосредственно перед применением. Для этого отмеряют требуемое количество препарата на одну заправку опрыскивателя, затем бак опрыскивателя на 1/2 заполняется водой, включается мешалка, добавляется полная доза препарата и доливается оставшееся количество воды. После этого все хорошо перемешивается.
На каких площадках рекомендуется проводить приготовление рабочей жидкости и заправку опрыскивателя препаратом Апекс, МКЭ? | Приготовление рабочей жидкости и заправку опрыскивателя препаратом Апекс, МКЭ рекомендуется проводить на специальных площадках, которые в дальнейшем подвергаются обезвреживанию.
Какие опрыскиватели применяются для внесения препарата Апекс, МКЭ? | Для внесения препарата Апекс, МКЭ применяются серийно выпускаемые наземные опрыскиватели и садовые дистанционные опрыскиватели.
Какому химическому классу принадлежит действующее вещество препарата Апекс, МКЭ? | Действующее вещество препарата Апекс, МКЭ принадлежит к химическому классу ювеноидов.
В какой класс опасности относится препарат Апекс, МКЭ? | Препарат Апекс, МКЭ относится к 3 классу опасности, он умеренно опасный.
