Как называется препарат системного действия для защиты посевов яровой и озимой пшеницы? | Препарат называется Арго, МЭ .
В каких странах доступен препарат Арго, МЭ ? | Препарат доступен в России, Казахстане и Сербии.
Какие преимущества у препарата Арго, МЭ ? | Преимущества препарата включают усиленный гербицидный эффект, высокую скорость проникновения, высокую избирательность для культуры, широкое окно применения и совместимость с противодвудольными гербицидами.
Какие действующие вещества содержатся в препарате Арго, МЭ ? | Препарат содержит 80 г/л феноксапроп-П-этила, 24 г/л клодинафоп-пропаргила и 30 г/л мефенпир-диэтила.
Какие злаковые сорняки подвержены действию препарата Арго, МЭ ? | Препарат эффективен против однолетних злаковых сорняков, таких как овсюг, овсюг волосистолистный, метлица обыкновенная и другие виды злаковых сорняков.
Каков механизм действия препарата Арго, МЭ ? | Феноксапроп-П-этил и клодинафоп-пропаргил эффективно воздействуют на злаковые сорняки, прекращая синтез клеточных мембран в зонах роста растения. Мефенпир-диэтил является антидотом, устраняет фитотоксическое действие на культуру и проявляет синергизм с феноксапроп-П-этилом.
Как долго длится защитное действие препарата Арго, МЭ ? | Препарат действует на сорные растения в течение всего вегетационного периода, срок защиты составляет 3-4 недели.
Какова скорость воздействия препарата Арго, МЭ ? | Препарат быстро проникает в листья сорных растений и через сутки устраняет конкуренцию сорняков для культуры.
С какими другими пестицидами совместим препарат Арго, МЭ ? | Препарат совместим с большинством гербицидов на основе феноксикислот, сульфонилмочевин, клопиралида и других, а также с инсектицидами и фунгицидами.
Каким образом следует приготавливать рабочий раствор препарата Арго, МЭ ? | Рабочий раствор следует готовить непосредственно перед применением, промыв канистру с остатками препарата водой и добавив оставшееся количество воды в бак опрыскивателя при перемешивании.
Какие особенности применения препарата Арго, МЭ могут обеспечить оптимальный результат? | Оптимальный результат и максимально быстрое гербицидное действие препарата достигается при обработке на ранних стадиях развития сорных злаков (начиная с фазы 2 листьев), при оптимальном выборе сроков применения и благоприятных погодных условиях роста и развития растений.
Каковы условия хранения препарата Арго, МЭ ? | Препарат следует хранить в температурном интервале от минус 15° до плюс 35° С.
В какой упаковке предлагается препарат Арго, МЭ ? | Препарат упакован в канистры объемом 10 литров.
Какой класс опасности имеет препарат Арго, МЭ ? | Препарат относится к 2 классу опасности, он считается высокоопасным веществом.
Какой гарантийный срок хранения у препарата Арго, МЭ ? | Гарантийный срок хранения составляет 2 года.
Кто является регистрантом препарата Арго, МЭ ? | Регистрантом препарата является АО Щелково Агрохим из России.
