Какое действие оказывает препарат Галс, КЭ на зеленые ткани растения? | Применение препарата Галс, КЭ вызывает хлороз и побеление зеленых тканей растения.
Какие преимущества имеет препарат Галс, КЭ? | Препарат Галс, КЭ контролирует широкий спектр однолетних сорняков, обладает эффективностью на разных типах почв, не требует механической заделки в почву, можно применять по всходам сои и имеет длительное почвенное действие.
Каков механизм действия препарата Галс, КЭ на растения? | Препарат Галс, КЭ действует системно через корни и гипокотиль сорных растений, также он оказывает контактное воздействие на вегетирующие сорняки, ингибируя синтез необходимых для фотосинтеза пигментов.
Какая видимая реакция растений на применение препарата Галс, КЭ? | Растения, подвергшиеся действию препарата Галс, КЭ, проявляют хлороз, побеление зеленых тканей, а также может наблюдаться некроз и карликовость растений.
Каковы особенности применения препарата Галс, КЭ на почву? | Препарат Галс, КЭ рекомендуется применять довсходово непосредственно после посева или в течение 30 часов после него, заделку в почву не требуется.
Какие культуры совместимы с препаратом Галс, КЭ? | Препарат Галс, КЭ совместим с гербицидами на основе прометрина, метрибузина, пендиметалина, метамитрона, пропизохлора и другими, но перед смешиванием следует провести тест на совместимость компонентов.
Как долго сохраняется препарат Галс, КЭ? | Препарат Галс, КЭ имеет гарантийный срок хранения в течение 3 лет.
Какие виды сорняков чувствительны к препарату Галс, КЭ? | Препарат Галс, КЭ эффективен против марь белой, ежовника обыкновенного, горчицы полевой, звездчатки средней, подмаренника цепкого, падалицы подсолнечника и других.
Какие культуры можно обрабатывать препаратом Галс, КЭ? | Препарат Галс, КЭ предназначен для обработки посевов рапса, свеклы сахарной и сои.
Какие преимущества предоставляет препарат Галс, КЭ при борьбе с сорняками? | Препарат Галс, КЭ обладает широким спектром действия против однолетних сорняков, длительным почвенным действием, а также позволяет проводить обработку по всходам сои.
В какой упаковке поставляется препарат Галс, КЭ? | Препарат Галс, КЭ поставляется в упаковке канистры объемом 5 литров.
Какие культуры могут быть обработаны препаратом Галс, КЭ? | Препарат Галс, КЭ применяется для защиты посевов рапса, свеклы сахарной и сои.
Какой класс опасности у препарата Галс, КЭ? | Препарат Галс, КЭ относится к 2 классу опасности, то есть является высокоопасным веществом.
Каковы условия хранения препарата Галс, КЭ? | Препарат Галс, КЭ следует хранить в интервале температур от -15 до +35 °C.
Как долго действует препарат Галс, КЭ после обработки? | Защитное действие препарата Галс, КЭ против чувствительных сорняков продолжается в течение 40-45 дней.
Какие виды сорняков подвержены действию препарата Галс, КЭ? | Препарат Галс, КЭ эффективен против разнообразных однолетних двудольных и злаковых сорняков, включая марь белую, горчицу полевую, подмаренник цепкого и других.
Как проводить обработку почвы препаратом Галс, КЭ? | Рекомендуется проводить довсходовую обработку почвы препаратом Галс, КЭ непосредственно после посева или в течение 30 часов после него. Заделку в почву не требуется.
С какими другими пестицидами совместим препарат Галс, КЭ? | Препарат Галс, КЭ совместим с гербицидами на основе прометрина, метрибузина, пендиметалина, метамитрона, пропизохлора и другими, но перед смешиванием следует провести тест на совместимость компонентов.
Каков химический класс препарата Галс, КЭ? | Препарат Галс, КЭ принадлежит к химическому классу производных изоксазолидинонов.
Какие культуры можно обрабатывать препаратом Галс, КЭ? | Препарат Галс, КЭ предназначен для обработки посевов рапса, свеклы сахарной и сои.
Как долго сохраняется эффект применения препарата Галс, КЭ на сорняки? | Защитное действие препарата Галс, КЭ против чувствительных растений продолжается в течение 40-45 дней.
Какие виды сорняков подвержены действию препарата Галс, КЭ? | Препарат Галс, КЭ эффективен против разнообразных однолетних двудольных и злаковых сорняков, таких как марь белая, горчица полевая, подмаренник цепкий и другие.
