Что такое Локустин, КС? | Локустин, КС - это мощный инсектицид для борьбы с вредителями и саранчой.
Для чего используется Локустин, КС? | Локустин, КС используется для уничтожения саранчи, вредителей хвойных и лиственных пород, а также вредителей рапса.
Какие преимущества у Локустина, КС? | Локустин, КС - это инсектицид с тотальным истреблением саранчи и других вредителей, обладающий овицидным и ларвицидным действием.
Как долго длится защитное действие Локустина, КС? | Защитное действие Локустина, КС длится не менее 14 суток.
Как действует дифлубензурон? | Дифлубензурон действует контактно и кишечно, ингибируя синтез хитина у вредителей.
Что такое имидаклоприд? | Имидаклоприд - это вещество, обладающее системным и контактно-кишечным действием против вредителей.
Какие способы применения Локустина, КС? | Локустин, КС можно применять наземно, с помощью авиации и генератора аэрозоля.
Каков класс опасности Локустина, КС? | Локустин, КС относится к 3 классу опасности, то есть является умеренно опасным веществом.
Какое овицидное действие у дифлубензурона? | Дифлубензурон обладает овицидным действием, нарушая развитие яиц и личинок.
Какие рекомендуемые марки машин для наземной обработки Локустина, КС? | Рекомендуемые марки машин для наземной обработки включают Амазоне, ОПШ-15-01, ОП-2000-2-01 и аналогичные.
Каков температурный интервал хранения Локустина, КС? | Локустин, КС можно хранить в интервале от минус 10°C до плюс 30°C.
Каким образом действует имидаклоприд на насекомых? | Имидаклоприд блокирует рецепторы нервной системы насекомых, вызывая параличи и конвульсии.
Какие особенности применения Локустина, КС нужно учитывать? | После обработки, срок возможного пребывания людей на обработанных площадях должен быть не ранее 20 дней, а сбор грибов и ягод в сезон обработки не разрешается.
Что известно о классе опасности для пчёл у Локустина, КС? | Локустин, КС относится к 1 классу опасности для пчёл, то есть является высокоопасным для них.
Каков период защитного действия Локустина, КС? | Период защитного действия Локустина, КС составляет не менее 14 суток.
Как происходит приготовление рабочего раствора Локустина, КС для наземной обработки? | Для наземной обработки, бак опрыскивателя на половину заполняется водой, затем добавляется полная доза препарата, а оставшееся количество воды доливается. Объём тщательно перемешивается.
Какое действие оказывает имидаклоприд на насекомых? | Имидаклоприд приводит к подавлению сигналов через нервную систему насекомых, вызывая параличи и конвульсии.
Каким образом действует дифлубензурон на личинок? | Дифлубензурон вызывает гибель личинок в процессе линьки, когда их кутикула рвется и содержимое тела вытекает.
Какова скорость токсического действия Локустина, КС? | Скорость токсического действия Локустина, КС высокая - гибель имаго наблюдается в течение суток, а гибель личинок - в течение нескольких дней.
Как происходит приготовление рабочей жидкости Локустина, КС для авиационной обработки? | Для авиационной обработки рабочую жидкость готовят на стационарной заправочной станции СЗС-10. Бак заполняется на половину водой, добавляется препарат и остальное количество воды, после чего рабочая жидкость подается в заправочные емкости передвижных агрегатов.
Какой химический класс у Локустина, КС? | Локустин, КС относится к химическим классам производных бензоилмочевины и неоникотиноидов.
Какова продолжительность действия Локустина, КС? | Защитное действие Локустина, КС длится не менее 14 суток.
Как происходит приготовление рабочей жидкости для авиационной обработки Локустина, КС? | Для приготовления рабочей жидкости для авиационной обработки, бак заполняется на половину водой, добавляется расчетное количество препарата и остальное количество воды, после чего жидкость подают в заправочные емкости передвижных агрегатов.
Какие особенности применения нужно учитывать при использовании Локустина, КС? | После обработки, людям следует воздержаться от пребывания на обработанных площадях в течение не менее 20 дней, а сбор грибов и ягод в период обработки запрещен.
Как действует имидаклоприд на насекомых? | Имидаклоприд блокирует нервные рецепторы насекомых, что вызывает параличи и конвульсии.
Какой гарантийный срок хранения у Локустина, КС? | Гарантийный срок хранения Локустина, КС составляет 3 года.
Какова рекомендуемая марка машин для авиационной обработки Локустина, КС? | Для авиационной обработки рекомендуется использовать самолеты Ан-2 и вертолеты Ми-2.
Как действует дифлубензурон на развитие личинок? | Дифлубензурон нарушает развитие яиц и личинок, что приводит к их гибели.
Какой класс опасности у Локустина, КС? | Локустин, КС относится к 3 классу опасности, что означает умеренную опасность.
Как происходит приготовление рабочей жидкости для авиационной обработки Локустина, КС? | Для приготовления рабочей жидкости для авиационной обработки, бак заполняется на половину водой, затем добавляется расчетное количество препарата и оставшееся количество воды, после чего жидкость подается в заправочные емкости передвижных агрегатов.
Что известно о действии имидаклоприда? | Имидаклоприд блокирует никотинэргические рецепторы нервной системы насекомых, что приводит к параличам и конвульсиям.
Какова скорость воздействия Локустина, КС? | Скорость токсического действия Локустина, КС высокая - имаго умирают в течение суток, а личинки - в течение нескольких дней.
Какие способы применения предусмотрены для Локустина, КС? | Локустин, КС можно применять наземно, с помощью авиации и генератора аэрозоля.
Что такое дифлубензурон? | Дифлубензурон - это вещество, которое вызывает гибель личинок в процессе линьки путем разрыва кутикулы.
Какие способы применения Локустина, КС доступны? | Локустин, КС можно использовать наземно, авиацией и с помощью генератора аэрозоля.
Какое овицидное действие проявляет дифлубензурон? | Дифлубензурон обладает овицидным действием, нарушая развитие яиц и личинок.
Как действует имидаклоприд на насекомых? | Имидаклоприд блокирует никотинэргические рецепторы нервной системы насекомых, вызывая параличи и конвульсии.
Какой температурный интервал хранения у Локустина, КС? | Локустин, КС можно хранить в интервале от минус 10°C до плюс 30°C.
Как действует дифлубензурон на личинок? | Дифлубензурон вызывает гибель личинок в процессе линьки, когда их кутикула разрывается и содержимое вытекает.
Как долго длится защитное действие Локустина, КС? | Защитное действие Локустина, КС длится не менее 14 суток.
Что известно о классе опасности Локустина, КС? | Локустин, КС относится к 3 классу опасности, что означает умеренную опасность.
Как действует дифлубензурон на развитие личинок? | Дифлубензурон нарушает развитие яиц и личинок, вызывая их гибель.
Какие особенности применения нужно учитывать при использовании Локустина, КС? | После обработки, людям следует избегать пребывания на обработанных площадях не менее 20 дней, а сбор грибов и ягод в период обработки запрещен.
Каков период защитного действия Локустина, КС? | Период защитного действия Локустина, КС составляет не менее 14 суток.
Какие марки машин рекомендуются для наземной обработки Локустина, КС? | Для наземной обработки рекомендуются марки машин Амазоне, ОПШ-15-01, ОП-2000-2-01 и аналогичные.
Что такое дифлубензурон? | Дифлубензурон - это вещество, которое вызывает гибель личинок в процессе линьки путем разрыва их кутикулы.
Какие особенности применения следует учитывать при использовании Локустина, КС? | После обработки, людям следует избегать пребывания на обработанных площадях не менее 20 дней, а сбор грибов и ягод в период обработки запрещен.
Что такое дифлубензурон? | Дифлубензурон - это вещество, которое вызывает гибель личинок в процессе линьки, когда их кутикула разрывается и содержимое тела вытекает.
Какие способы применения доступны для Локустина, КС? | Локустин, КС можно применять наземно, с помощью авиации и генератора аэрозоля.
Что такое дифлубензурон? | Дифлубензурон - это вещество, которое вызывает гибель личинок в процессе линьки, разрывая их кутикулу и вытекая содержимое тела.
