Какой химический класс принадлежит препарату Медея, МЭ? | Препарат Медея, МЭ относится к химическому классу триазолов.
Для каких культур рекомендуется использовать препарат Медея, МЭ? | Препарат Медея, МЭ рекомендуется для защиты садов и виноградников.
Какие действующие вещества содержит препарат Медея, МЭ? | Препарат Медея, МЭ содержит 50 г/л дифеноконазола и 30 г/л флутриафола.
Какие преимущества имеет препарат Медея, МЭ? | Препарат Медея, МЭ обладает множеством преимуществ, включая инновационную препаративную форму, расширенный спектр фунгицидной активности, мощное куративное и профилактическое действие, эффективность в любых погодных условиях, дополнительное фумигантное действие и другие.
Каков механизм действия препарата Медея, МЭ? | Препарат Медея, МЭ обладает системным действием. Его активные вещества ингибируют биосинтез стеринов, нарушая проницаемость клеточных мембран, деление клеток и вызывая гибель патогенов.
Каков период защитного действия препарата Медея, МЭ? | При профилактических обработках период защитного действия составляет 7–10 дней при умеренном развитии болезней и 7 дней в условиях эпифитотийного развития.
Сколько времени требуется для начала действия препарата Медея, МЭ после обработки? | После обработки препаратом Медея, МЭ начало действия наступает через 2-3 часа.
Какие болезни патогенов поддерживает эффективность препарата Медея, МЭ? | Препарат Медея, МЭ эффективен против милдью, оидиума, антракноза, черной пятнистости, серой гнили, белой гнили, комплекса гнилей ягод и многих других.
Какая совместимость у препарата Медея, МЭ с другими пестицидами? | Препарат Медея, МЭ совместим с большинством пестицидов, однако перед смешиванием с другими препаратами следует проверить их совместимость.
Какая фитотоксичность у препарата Медея, МЭ? | Препарат Медея, МЭ не проявляет фитоцидного действия. Культурные растения показывают высокую толерантность к нему при соблюдении рекомендаций.
Может ли возникнуть резистентность при использовании препарата Медея, МЭ? | При правильном использовании и соблюдении норм расхода резистентность к препарату Медея, МЭ не наблюдалась.
Какой период ожидания после обработки препаратом Медея, МЭ? | После обработки препаратом Медея, МЭ соблюдается период ожидания в зависимости от конкретной культуры и болезней.
В какой форме представлен препарат Медея, МЭ? | Препарат Медея, МЭ представлен в виде микроэмульсии.
Какие культуры можно обрабатывать с использованием препарата Медея, МЭ? | Препарат Медея, МЭ можно использовать для обработки яблони и винограда.
Какова рекомендуемая норма применения препарата Медея, МЭ для яблони? | Рекомендуемая норма применения препарата Медея, МЭ для яблони составляет 0,8-1,2 л/га.
В какой период вегетации следует проводить обработку яблони препаратом Медея, МЭ? | Обработку яблони препаратом Медея, МЭ проводят в период вегетации: первое - профилактическое или при появлении первых признаков болезней, последующие - с интервалом 7-10 дней.
Сколько времени требуется для подготовки рабочей жидкости препарата Медея, МЭ? | Рабочий раствор препарата Медея, МЭ готовится непосредственно перед применением.
Какая рекомендуемая норма применения препарата Медея, МЭ для винограда на ЛПХ? | Рекомендуемая норма применения препарата Медея, МЭ для винограда на ЛПХ составляет 10 мл/10 л воды.
Какие болезни винограда поддерживает эффективность препарата Медея, МЭ? | Препарат Медея, МЭ эффективен против оидиума, черной гнили, черной пятнистости, серой гнили и других болезней винограда.
Какие технологии применения препарата Медея, МЭ рекомендуются для яблони? | Для яблони рекомендуется опрыскивание в период вегетации, приготовление рабочей жидкости перед применением, использование специальных площадок для приготовления и заправки опрыскивателя.
Какие технологии применения препарата Медея, МЭ рекомендуются для винограда на ЛПХ? | Для винограда на ЛПХ рекомендуется использовать 10 мл препарата на 10 л воды, проводить обработку в период вегетации и соблюдать интервалы между обработками.
Какие культуры и болезни поддерживает эффективность препарата Медея, МЭ? | Препарат Медея, МЭ эффективен против парши, мучнистой росы, филлостиктоза, плодовой гнили, монилиоза, гнили плодов при хранении и многих других.
Какой период ожидания после обработки препаратом Медея, МЭ для винограда? | После обработки препаратом Медея, МЭ для винограда соблюдается период ожидания в зависимости от конкретной культуры и болезней.
Каков гарантийный срок хранения препарата Медея, МЭ? | Гарантийный срок хранения препарата Медея, МЭ составляет 3 года.
Каков класс опасности препарата Медея, МЭ? | Препарат Медея, МЭ относится к 3 классу опасности, является умеренно опасным веществом.
В какой упаковке представлен препарат Медея, МЭ? | Препарат Медея, МЭ представлен в виде канистры объемом 5 л, ампулы 5 мл и флакона 10 мл.
Кто является регистрантом препарата Медея, МЭ? | Регистрантом препарата Медея, МЭ является АО Щелково Агрохим, Россия.
