Какова норма расхода рабочей жидкости при использовании Репер Трио для рапса ярового? | Норма расхода рабочей жидкости составляет 200-300 л/га.
В какое время лучше обрабатывать рапс яровой Репер Трио? | С фазы 3-6 настоящих листьев до появления цветочных бутонов у рапса.
Сколько времени нужно ждать для ручных работ после применения Репер Трио? | Сроки выхода для ручных (механизированных) работ не указаны.
Какова кратность обработок Репер Трио для рапса ярового? | Срок ожидания составляет 60 дней, кратность обработок - однократно.
Что делать при необходимости пересева после применения Репер Трио? | Необходимо провести глубокую вспашку и можно выращивать кукурузу, сорго, яровые зерновые и злаковые травы через 1 месяц.
Какова концентрация маточного раствора при приготовлении рабочей жидкости Репер Трио? | Концентрация маточного раствора должна составлять 30-40%.
Каковы виды сорняков, чувствительные к Репер Трио? | Чувствительны виды амброзии полыннолистной, бодяка полевого, вика (горошек посевной), крапива двудомная и многие другие.
Каковы умеренно чувствительные виды сорняков к Репер Трио? | Умеренно чувствительны виды галинсога мелкоцветная, мак самосейка, фиалка полевая и др.
Что делать с остатками маточного раствора Репер Трио? | Емкость с остатками маточного раствора несколько раз ополаскивают водой и выливают в бак опрыскивателя.
Как обеспечить однородность рабочей смеси Репер Трио? | Перемешивание необходимо продолжать во время обработки для обеспечения однородности рабочей смеси.
Как долго можно хранить рабочий раствор Репер Трио? | Рабочий раствор должен быть использован в течение нескольких часов после приготовления.
В чем особенности применения Репер Трио для рапса озимого? | Опрыскивание вегетирующих растений осенью или весной с фазы 3-6 настоящих листьев до появления цветочных бутонов у рапса.
Какие виды сорняков уничтожает Репер Трио? | Уничтожает подмаренника цепкого, виды ромашки, горца, щирицы, мари и другие проблемные виды.
Какова почвенная активность Репер Трио? | Аминопиралид в составе препарата имеет продолжительную почвенную активность.
Может ли Репер Трио поглощаться растениями через корни? | Да, пиклорам и аминопиралид могут поглощаться растениями как через листья, так и через корни.
Каковы погодные ограничения при использовании Репер Трио? | Длительное сохранение гербицидных свойств независимо от погодных условий.
Какова фитотоксичность Репер Трио при использовании после образования цветочных бутонов? | При использовании препарата после образования цветочных бутонов может проявиться отрицательное влияние на рост и развитие растений рапса.
Что такое масляная формуляция Репер Трио? | Масляная формуляция обеспечивает высокую гербицидную активность и быстрое проникновение в ткани обрабатываемых сорняков.
Каково действие Репер Трио на растения сорняков? | Препарат нарушает ростовые процессы и легко передвигается по растению во все точки роста.
Каково действие Репер Трио на листья сорняков? | Листья чувствительных сорняков становятся хлоротичными, после чего точка роста отмирает.
Какова особенность технологии применения Репер Трио? | Для обработки применяют штанговые опрыскиватели и проводят на специальных площадках, которые в дальнейшем подвергаются обезвреживанию.
