Какое вещество содержится в Тебу 60, МЭ ? | Тебу 60, МЭ содержит 60 г/л тебуконазола.
Для каких культур предназначен Тебу 60, МЭ ? | Тебу 60, МЭ предназначен для зерновых культур и льна-долгунца.
Какие преимущества имеет Тебу 60, МЭ ? | Преимущества Тебу 60, МЭ включают базовую защиту семян, инновационную формуляцию, длительный период защиты, минимальное воздействие на всхожесть и другие.
Какой механизм действия у Тебу 60, МЭ ? | Механизм действия заключается в подавлении биосинтеза эргостерина в мембранах клеток фитопатогенов, что приводит к гибели патогенов.
Какой спектр действия у Тебу 60, МЭ ? | Тебу 60, МЭ действует против антракноза, гельминтоспориозной корневой гнили, каменной головни, пыльной головни и других заболеваний.
Какой класс опасности у Тебу 60, МЭ ? | Тебу 60, МЭ относится к 2 классу опасности, как высокоопасное вещество.
Какой период защитного действия у Тебу 60, МЭ ? | Биологический эффект Тебу 60, МЭ сохраняется от прорастания семян до кущения культуры.
Какие культуры можно обрабатывать с использованием Тебу 60, МЭ ? | Тебу 60, МЭ применяется для обработки пшеницы (яровой и озимой), ячменя (ярового и озимого), ржи озимой и льна-долгунца.
В каком случае можно использовать Тебу 60, МЭ ? | Тебу 60, МЭ можно использовать для протравливания семян перед посевом или заблаговременной обработки.
Каков период ожидания после обработки Тебу 60, МЭ ? | Период ожидания после обработки Тебу 60, МЭ составляет 10 дней.
Как проводится обработка с использованием Тебу 60, МЭ ? | Обработку с использованием Тебу 60, МЭ рекомендуется проводить на протравочных машинах типа ПС-10 или аналогичных машинах.
Какая упаковка доступна для Тебу 60, МЭ ? | Тебу 60, МЭ поставляется в упаковке канистры объемом 5 литров.
Какое химическое действие оказывает Тебу 60, МЭ на патогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов и влияет на их метаболизм, вызывая гибель патогенов.
Какой период ожидания необходимо соблюдать после обработки Тебу 60, МЭ ? | Период ожидания после обработки Тебу 60, МЭ составляет 10 дней.
Какие ограничения существуют по использованию обработанных семян Тебу 60, МЭ ? | Не рекомендуется использовать обработанные семена на корм скоту.
Что следует соблюдать при работе с Тебу 60, МЭ ? | При работе с Тебу 60, МЭ следует соблюдать меры индивидуальной защиты, такие как ношение защитной одежды и респиратора.
Какой класс опасности у Тебу 60, МЭ ? | Тебу 60, МЭ относится к 2 классу опасности, как высокоопасное вещество.
Какое действие оказывает Тебу 60, МЭ на патогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, вызывая их гибель.
Какие культуры могут быть обработаны с использованием Тебу 60, МЭ ? | Тебу 60, МЭ рекомендуется использовать для протравливания семян пшеницы (яровой и озимой), ячменя (ярового и озимого), ржи озимой и льна-долгунца.
