Что такое Туарег, СМЭ ? | Туарег, СМЭ - это инсекто-фунгицидный протравитель для защиты семян и всходов зерновых культур.
Какие преимущества предоставляет Туарег, СМЭ ? | Препарат обеспечивает усиленную защиту от вредителей, долгосрочную защиту от болезней, здоровое развитие культуры и применение в различных климатических условиях.
Какие активные компоненты содержит Туарег, СМЭ ? | Препарат содержит имидаклоприд, имазалил и тебуконазол, которые синергично воздействуют на болезни и вредители.
Каково действие имазалила в составе Туарега, СМЭ ? | Имазалил защищает корневую систему растений, блокируя синтез эргостерина, который влияет на мембраны патогенных организмов.
Чем обусловлено действие тебуконазола в составе Туарега, СМЭ ? | Тебуконазол защищает проростки растений, блокируя биосинтез стерина у патогенных организмов.
Как действует имидаклоприд в составе Туарега, СМЭ ? | Имидаклоприд воздействует на нервную систему вредных насекомых, вызывая паралич и гибель.
Как долго продолжается защитное действие Туарега, СМЭ ? | Противовредительный и противогрибковый эффект сохраняется с момента прорастания семян до кущения культуры.
Какие культуры могут обрабатываться Туарегом, СМЭ ? | Туарег применяется на пшенице, ячмене, включая пивоваренный ячмень, и других зерновых культурах.
От каких вредителей защищает Туарег, СМЭ на пшенице и ячмене? | Протравитель эффективен против хлебной жужелицы, хлебных блошек, злаковых мух, тлей и цикадок.
Какие условия хранения рекомендованы для Туарега, СМЭ ? | Сохраняйте препарат в специальном помещении для хранения пестицидов при температуре от -10°C до +30°C.
Сколько лет можно хранить Туарега, СМЭ ? | Гарантийный срок хранения препарата составляет 2 года.
Какая упаковка используется для Туарега, СМЭ ? | Продукт поставляется в канистрах объемом 5 литров.
В какой класс опасности относится Туарег, СМЭ ? | Препарат отнесен к 2 классу опасности, то есть является высокоопасным веществом.
Кто является регистрантом Туарега, СМЭ ? | Препарат зарегистрирован компанией АО Щелково Агрохим в России.
Где производится Туарег, СМЭ ? | Препарат также производится компанией АО Щелково Агрохим в России.
Какова рекомендуемая норма расхода препарата Туарег, СМЭ на пшенице и ячмене? | Норма расхода составляет 1,0-1,4 литра на тонну семян.
Какое время и как применять Туарег, СМЭ на пшенице и ячмене? | Протравливание семян следует проводить заблаговременно (до 1 года) или непосредственно перед посевом.
Какие вредители атакуют пшеницу озимую и как их бороться с помощью Туарега, СМЭ ? | Снежная плесень - один из вредителей. Применяйте 1,4 литра препарата на тонну семян.
Какой вредитель может атаковать ячмень озимый и как применять Туарег, СМЭ ? | Спасательная муха может быть вредителем. Рекомендуется применять 1,2-1,4 литра на тонну семян.
Какая дозировка рекомендуется для обработки ячменя пивоваренного с помощью Туарега, СМЭ ? | Применяйте 1,2-1,4 литра препарата на тонну семян.
Какие особенности применения Туарега, СМЭ на пшенице и ячмене? | Протравливание семян следует проводить заблаговременно (до 1 года) или непосредственно перед посевом.
Возможно ли применять Туарег, СМЭ на пшенице и ячмене в разных регионах? | Да, препарат можно эффективно использовать во всех регионах возделывания зерновых культур.
Каков период ожидания после обработки Туарегом, СМЭ ? | Период ожидания отсутствует (кратность обработок - 1).
Какие болезни могут атаковать пшеницу яровую и озимую, от которых защищает Туарег, СМЭ ? | Пыльная головня, фузариозная корневая гниль и другие. Рекомендуется применять 1,2-1,4 литра на тонну семян.
Что делает Туарег, СМЭ , чтобы обеспечить здоровое развитие культуры? | Препарат способствует здоровому и энергичному развитию культуры в любых климатических условиях.
Какие виды головней атакуют ячмень яровой и озимый, от которых защищает Туарег, СМЭ ? | Пыльная головня, ложная пыльная головня и другие. Рекомендуется применять 1,2-1,4 литра на тонну семян.
Как применять Туарег, СМЭ на твердой головне? | Рекомендуется применять 1,0-1,4 литра на тонну семян.
Как долго действует биологический эффект Туарега, СМЭ ? | Защитное действие продолжается на протяжении всего периода от прорастания семян до кущения культуры.
Какое время применения Туарега, СМЭ рекомендуется для пшеницы озимой? | Протравливание семян следует проводить заблаговременно (до 1 года) или непосредственно перед посевом.
Какие болезни могут атаковать пшеницу озимую, от которых защищает Туарег, СМЭ ? | Пыльная головня и другие болезни. Рекомендуется применять 1,4 литра на тонну семян.
Каковы допустимые сроки ожидания после обработки Туарегом, СМЭ ? | Период ожидания отсутствует (кратность обработок - 1).
Какие культуры можно обрабатывать с помощью Туарега, СМЭ ? | Препарат применяется на пшенице, ячмене, включая пивоваренный ячмень, и других зерновых культурах.
Какие вредители атакуют пшеницу, ячмень и как с ними бороться с помощью Туарега, СМЭ ? | Вредители включают хлебную жужелицу, хлебные блошки, злаковые мухи, тли и цикадок.
Какие болезни могут атаковать пшеницу, ячмень и как с ними бороться с помощью Туарега, СМЭ ? | Болезни включают пыльную головню, фузариозную корневую гниль и другие.
Как долго продолжается защитное действие Туарега, СМЭ на пшенице, ячмене? | Защитное действие продолжается с момента прорастания семян до кущения культуры.
Какие рекомендации по хранению Туарега, СМЭ ? | Препарат следует хранить в специальном помещении для хранения пестицидов при температуре от -10°C до +30°C.
Как долго можно хранить Туарега, СМЭ ? | Гарантийный срок хранения препарата составляет 2 года.
Какая упаковка используется для Туарега, СМЭ ? | Продукт поставляется в канистрах объемом 5 литров.
Какой класс опасности у Туарега, СМЭ ? | Препарат отнесен к 2 классу опасности, то есть является высокоопасным веществом.
Кто является регистрантом Туарега, СМЭ ? | Препарат зарегистрирован компанией АО Щелково Агрохим в России.
Где производится Туарег, СМЭ ? | Препарат также производится компанией АО Щелково Агрохим в России.
Какой период ожидания после обработки Туарегом, СМЭ ? | Период ожидания отсутствует (кратность обработок - 1).
Какие болезни могут атаковать пшеницу озимую и как с ними бороться с помощью Туарега, СМЭ ? | Болезни включают пыльную головню, фузариозную корневую гниль и другие.
Какие болезни могут атаковать пшеницу озимую и как с ними бороться с помощью Туарега, СМЭ ? | Болезни включают пыльную головню, фузариозную корневую гниль и другие.
Каков период ожидания после обработки Туарегом, СМЭ ? | Период ожидания отсутствует (кратность обработок - 1).
Какие культуры могут обрабатываться Туарегом, СМЭ ? | Препарат применяется на пшенице, ячмене, включая пивоваренный ячмень, и других зерновых культурах.
Какие вредители атакуют пшеницу, ячмень и как с ними бороться с помощью Туарега, СМЭ ? | Вредители включают хлебную жужелицу, хлебные блошки, злаковые мухи, тли и цикадок.
Какие болезни могут атаковать пшеницу, ячмень и как с ними бороться с помощью Туарега, СМЭ ? | Болезни включают пыльную головню, фузариозную корневую гниль и другие.
Как долго продолжается защитное действие Туарега, СМЭ на пшенице, ячмене? | Защитное действие продолжается с момента прорастания семян до кущения культуры.
Какие рекомендации по хранению Туарега, СМЭ ? | Препарат следует хранить в специальном помещении для хранения пестицидов при температуре от -10°C до +30°C.
